Date,CloseA,CloseB
2024-01-02,107.67,51.33
2024-01-03,107.02,51.16
2024-01-04,105.97,51.33
2024-01-05,107.52,51.77
2024-01-08,108.53,51.36
2024-01-09,108.17,51.51
2024-01-10,107.69,51.66
2024-01-11,104.87,50.59
2024-01-12,106.34,51.45
2024-01-15,107.94,52.02
2024-01-16,106.91,51.73
2024-01-17,108.87,51.76
2024-01-18,109.49,52.26
2024-01-19,109.53,52.23
2024-01-22,110.61,52.21
2024-01-23,109.54,51.34
2024-01-24,109.62,51.88
2024-01-25,109.97,52.12
2024-01-26,110.91,52.46
2024-01-29,108.48,51.54
2024-01-30,109.49,52.85
2024-01-31,111.07,53.11
2024-02-01,111.61,52.99
2024-02-02,114.79,54.56
2024-02-05,113.98,54.67
2024-02-06,112.26,53.81
2024-02-07,111.68,53.67
2024-02-08,108.84,52.22
2024-02-09,111.92,53.11
2024-02-12,112.54,52.97
2024-02-13,111.61,52.60
2024-02-14,113.21,53.50
2024-02-15,111.19,52.49
2024-02-16,111.69,53.02
2024-02-19,108.74,51.72
2024-02-20,107.44,51.41
2024-02-21,106.18,50.71
2024-02-22,110.45,51.89
2024-02-23,113.16,53.27
2024-02-26,112.00,53.19
2024-02-27,112.82,53.93
2024-02-28,112.20,53.96
2024-02-29,113.91,54.50
2024-03-01,113.52,54.13
2024-03-04,110.15,53.08
2024-03-05,108.77,51.97
2024-03-06,109.23,52.39
2024-03-07,114.06,54.11
2024-03-08,114.48,54.45
2024-03-11,115.16,54.23
2024-03-12,117.01,55.72
2024-03-13,117.15,56.04
2024-03-14,117.80,56.26
2024-03-15,119.17,56.58
2024-03-18,119.29,56.64
2024-03-19,117.71,56.57
2024-03-20,116.35,55.72
2024-03-21,117.41,56.22
2024-03-22,117.25,56.30
2024-03-25,118.86,57.29
