Date,A,B,C
2024-01-02,100.0,80.0,150.0
2024-01-03,99.17,79.82,149.34
2024-01-04,97.44,80.53,148.8
2024-01-05,96.71,80.06,148.13
2024-01-08,96.34,79.58,147.72
2024-01-09,97.66,81.02,148.39
2024-01-10,95.71,81.47,148.68
2024-01-11,94.56,81.78,150.37
2024-01-12,93.73,82.23,148.7
2024-01-15,96.09,84.4,149.29
2024-01-16,98.07,84.65,148.71
2024-01-17,96.47,84.61,146.25
2024-01-18,97.66,85.85,149.3
2024-01-19,98.63,85.95,149.95
2024-01-22,98.44,85.27,147.64
2024-01-23,99.01,87.63,150.21
2024-01-24,97.69,87.85,151.67
2024-01-25,97.57,87.6,152.08
2024-01-26,98.05,87.63,150.42
2024-01-29,97.22,87.31,151.58
2024-01-30,96.1,88.37,149.78
2024-01-31,95.15,86.34,148.62
2024-02-01,95.28,88.04,147.43
2024-02-02,97.28,88.93,148.56
2024-02-05,97.74,88.62,151.38
2024-02-06,97.88,88.92,152.48
2024-02-07,96.43,89.88,151.54
2024-02-08,96.6,88.52,151.07
2024-02-09,96.44,88.92,150.29
2024-02-12,96.56,87.01,152.42
2024-02-13,96.78,86.17,153.1
2024-02-14,96.39,86.49,152.47
2024-02-15,95.82,83.54,153.01
2024-02-16,95.37,84.42,152.64
2024-02-19,93.91,84.54,151.85
2024-02-20,95.28,84.79,153.38
2024-02-21,94.04,82.95,152.74
2024-02-22,94.46,82.41,154.35
2024-02-23,95.39,83.75,154.6
2024-02-26,94.53,84.76,155.82
2024-02-27,93.94,85.6,155.72
2024-02-28,93.55,85.64,156.51
2024-02-29,93.19,85.15,157.91
2024-03-01,92.76,84.98,157.01
2024-03-04,93.68,85.35,156.16
2024-03-05,95.43,87.23,154.93
2024-03-06,97.24,89.31,154.61
2024-03-07,97.03,88.71,153.04
2024-03-08,97.58,90.35,152.34
2024-03-11,98.56,91.2,150.6
2024-03-12,97.3,91.78,148.82
2024-03-13,97.04,90.89,151.55
2024-03-14,98.16,92.79,153.5
2024-03-15,96.7,91.99,153.11
2024-03-18,94.27,90.31,152.26
2024-03-19,92.89,89.32,152.27
2024-03-20,93.31,90.76,150.75
2024-03-21,92.81,90.76,151.67
2024-03-22,92.95,92.15,152.56
2024-03-25,91.44,92.06,152.06
